id,invoice_id,tanggal_transaksi,customer_id,nama_pelanggan,jenis_kelamin,umur_pelanggan,product_id,quantity,jenis_pembayaran,jenis_pesanan,nama_produk,kategori_produk,jenis_produk,harga_produk,total_penjualan,tipe_pembayaran,diskon,total_pembayaran
52,52,5/9/22,48,Wulan Lestari,F,27,4,1,CASH,Delivery,Indomie Goreng Aceh,makanan,mie-goreng,9000,9000,CASH,0,9000
53,53,4/15/22,96,Lala Indriani,F,32,16,1,QRIS-GOPAY,Dine-In,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,12000,QRIS,600,11400
54,54,2/22/22,54,Maya Kurnia,F,26,3,3,QRIS-OTHERS,Delivery,Indomie Baso Sapi,makanan,mie-kuah,12000,36000,QRIS,1800,34200
55,55,1/28/22,15,Roni Hartanto,M,37,6,2,QRIS-OVO,Dine-In,Indomie Goreng Pedas,makanan,mie-goreng,9000,18000,QRIS,900,17100
56,56,7/28/22,23,Ridwan Santoso,M,33,11,1,QRIS-SHOPEEPAY,Delivery,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,12000,QRIS,600,11400
57,57,6/14/22,50,Sari Sari,F,22,8,3,QRIS-OTHERS,Dine-In,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,27000,QRIS,1350,25650
58,58,5/18/22,40,Eka Kusuma,F,24,3,2,CASH,Delivery,Indomie Baso Sapi,makanan,mie-kuah,12000,24000,CASH,0,24000
59,59,5/8/22,88,Mega Lestari,F,27,1,2,QRIS-OVO,Delivery,indomie Ayam Bawang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
60,60,7/14/22,36,Novi Indriani,F,32,5,2,QRIS-OTHERS,Dine-In,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,18000,QRIS,900,17100
61,61,2/13/22,73,Dwi Putra,M,34,10,1,CASH,Dine-In,indomie Kari Ayam,makanan,mie-kuah,12000,12000,CASH,0,12000
62,62,3/7/22,88,Mega Lestari,F,27,11,2,QRIS-DANA,Delivery,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,24000,QRIS,1200,22800
63,63,6/6/22,60,Intan Kusuma,F,24,11,3,QRIS-OVO,Delivery,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,36000,QRIS,1800,34200
64,64,5/1/22,48,Wulan Lestari,F,27,9,1,QRIS-OTHERS,Delivery,Indomie Goreng Spesial,makanan,mie-goreng,9000,9000,QRIS,450,8550
65,65,8/17/22,98,Yuni Aulia,F,23,7,3,QRIS-OVO,Dine-In,Indomie Goreng Rendang,makanan,mie-goreng,9000,27000,QRIS,1350,25650
66,66,7/26/22,81,Ricky Wijaya,M,28,10,1,QRIS-GOPAY,Delivery,indomie Kari Ayam,makanan,mie-kuah,12000,12000,QRIS,600,11400
67,67,3/22/22,71,Syahrul Nugroho,M,38,12,1,QRIS-OVO,Dine-In,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,12000,QRIS,600,11400
68,68,8/24/22,34,Indah Kurnia,F,26,16,3,QRIS-GOPAY,Dine-In,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,36000,QRIS,1800,34200
69,69,2/11/22,12,Yanti Wulandari,F,30,14,1,QRIS-GOPAY,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,12000,QRIS,600,11400
70,70,6/14/22,14,Rika Kurnia,F,26,2,2,QRIS-GOPAY,Delivery,Indomie Ayam Spesial,makanan,mie-kuah,12000,24000,QRIS,1200,22800
71,71,2/7/22,7,Harry Prabowo,M,42,17,3,QRIS-GOPAY,Dine-In,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,36000,QRIS,1800,34200
72,72,5/4/22,28,Nur Lestari,F,27,17,2,QRIS-GOPAY,Delivery,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
73,73,8/14/22,55,Dhani Hartanto,M,37,16,2,QRIS-OTHERS,Dine-In,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,24000,QRIS,1200,22800
74,74,8/22/22,51,Rahmat Nugroho,M,38,2,3,CASH,Dine-In,Indomie Ayam Spesial,makanan,mie-kuah,12000,36000,CASH,0,36000
75,75,4/19/22,36,Novi Indriani,F,32,15,2,QRIS-OVO,Delivery,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,24000,QRIS,1200,22800
76,76,4/10/22,20,Desi Kusuma,F,24,5,1,QRIS-OVO,Delivery,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,9000,QRIS,450,8550
77,77,4/16/22,61,Reza Wijaya,M,28,11,2,QRIS-OVO,Delivery,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,24000,QRIS,1200,22800
78,78,7/28/22,34,Indah Kurnia,F,26,10,1,QRIS-OVO,Delivery,indomie Kari Ayam,makanan,mie-kuah,12000,12000,QRIS,600,11400
79,79,7/28/22,27,Adit Prabowo,M,42,8,1,QRIS-DANA,Dine-In,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,9000,QRIS,450,8550
80,80,8/23/22,59,Deni Pratama,M,41,6,2,CASH,Dine-In,Indomie Goreng Pedas,makanan,mie-goreng,9000,18000,CASH,0,18000
81,81,7/26/22,27,Adit Prabowo,M,42,13,1,CASH,Dine-In,Indomie Rasa Sop Buntut,makanan,mie-kuah,12000,12000,CASH,0,12000
82,82,2/26/22,79,Fahri Pratama,M,41,5,1,CASH,Delivery,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,9000,CASH,0,9000
83,83,7/24/22,96,Lala Indriani,F,32,9,2,QRIS-SHOPEEPAY,Dine-In,Indomie Goreng Spesial,makanan,mie-goreng,9000,18000,QRIS,900,17100
84,84,3/28/22,27,Adit Prabowo,M,42,16,2,CASH,Delivery,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,24000,CASH,0,24000
85,85,3/18/22,21,Guntur Wijaya,M,28,18,1,QRIS-SHOPEEPAY,Delivery,Indomie Soto Mie,makanan,mie-kuah,12000,12000,QRIS,600,11400
86,86,3/27/22,16,Susi Indriani,F,32,14,1,QRIS-GOPAY,Delivery,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,12000,QRIS,600,11400
87,87,6/20/22,94,Ayu Kurnia,F,26,12,2,QRIS-SHOPEEPAY,Dine-In,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,24000,QRIS,1200,22800
88,88,6/12/22,18,Lusi Aulia,F,23,5,2,QRIS-SHOPEEPAY,Delivery,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,18000,QRIS,900,17100
89,89,5/19/22,65,Edi Setiawan,M,35,4,2,QRIS-GOPAY,Dine-In,Indomie Goreng Aceh,makanan,mie-goreng,9000,18000,QRIS,900,17100
90,90,1/23/22,57,Feri Susanto,M,29,14,2,CASH,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,24000,CASH,0,24000
91,91,7/27/22,67,Prima Prabowo,M,42,16,2,QRIS-DANA,Dine-In,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,24000,QRIS,1200,22800
92,92,6/13/22,40,Eka Kusuma,F,24,16,3,QRIS-SHOPEEPAY,Delivery,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,36000,QRIS,1800,34200
93,93,5/14/22,9,Iwan Surya,M,33,6,1,QRIS-GOPAY,Dine-In,Indomie Goreng Pedas,makanan,mie-goreng,9000,9000,QRIS,450,8550
94,94,1/16/22,11,Adi Nugroho,M,38,3,1,QRIS-DANA,Dine-In,Indomie Baso Sapi,makanan,mie-kuah,12000,12000,QRIS,600,11400
95,95,6/29/22,80,Niken Kusuma,F,24,18,2,QRIS-OVO,Delivery,Indomie Soto Mie,makanan,mie-kuah,12000,24000,QRIS,1200,22800
96,96,7/4/22,18,Lusi Aulia,F,23,3,2,QRIS-OTHERS,Dine-In,Indomie Baso Sapi,makanan,mie-kuah,12000,24000,QRIS,1200,22800
97,97,7/13/22,63,Agung Santoso,M,33,10,1,QRIS-OTHERS,Delivery,indomie Kari Ayam,makanan,mie-kuah,12000,12000,QRIS,600,11400
98,98,3/31/22,50,Sari Sari,F,22,14,1,CASH,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,12000,CASH,0,12000
99,99,7/13/22,28,Nur Lestari,F,27,5,3,CASH,Dine-In,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,27000,CASH,0,27000
100,100,1/15/22,21,Guntur Wijaya,M,28,1,2,QRIS-SHOPEEPAY,Delivery,indomie Ayam Bawang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
101,101,7/20/22,33,Reza Putra,M,34,5,3,CASH,Dine-In,Indomie Goreng Cabe Ijo,makanan,mie-goreng,9000,27000,CASH,0,27000
102,102,3/22/22,74,Mei Kurnia,F,26,4,2,QRIS-OVO,Dine-In,Indomie Goreng Aceh,makanan,mie-goreng,9000,18000,QRIS,900,17100
103,103,7/13/22,100,Ika Kusuma,F,24,13,3,CASH,Delivery,Indomie Rasa Sop Buntut,makanan,mie-kuah,12000,36000,CASH,0,36000
104,104,7/14/22,82,Tika Rahmawati,F,31,9,3,QRIS-OVO,Dine-In,Indomie Goreng Spesial,makanan,mie-goreng,9000,27000,QRIS,1350,25650
105,105,2/27/22,56,Devi Indriani,F,32,8,3,QRIS-OTHERS,Delivery,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,27000,QRIS,1350,25650
106,106,6/1/22,84,Ana Rosita,F,24,18,2,QRIS-GOPAY,Dine-In,Indomie Soto Mie,makanan,mie-kuah,12000,24000,QRIS,1200,22800
107,107,1/14/22,86,Nining Susanti,F,29,12,2,CASH,Dine-In,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,24000,CASH,0,24000
108,108,7/7/22,8,Diah Lestari,F,27,13,1,QRIS-GOPAY,Delivery,Indomie Rasa Sop Buntut,makanan,mie-kuah,12000,12000,QRIS,600,11400
109,109,6/8/22,23,Ridwan Santoso,M,33,10,3,QRIS-GOPAY,Dine-In,indomie Kari Ayam,makanan,mie-kuah,12000,36000,QRIS,1800,34200
110,110,4/1/22,37,Irwan Susanto,M,29,1,3,QRIS-OTHERS,Delivery,indomie Ayam Bawang,makanan,mie-kuah,12000,36000,QRIS,1800,34200
111,111,2/8/22,61,Reza Wijaya,M,28,9,2,CASH,Dine-In,Indomie Goreng Spesial,makanan,mie-goreng,9000,18000,CASH,0,18000
112,112,2/15/22,15,Roni Hartanto,M,37,18,2,QRIS-GOPAY,Delivery,Indomie Soto Mie,makanan,mie-kuah,12000,24000,QRIS,1200,22800
113,113,2/27/22,24,Mila Rosita,F,24,8,2,CASH,Dine-In,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,18000,CASH,0,18000
114,114,3/8/22,75,Irvan Hartanto,M,37,17,3,CASH,Delivery,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,36000,CASH,0,36000
115,115,5/17/22,95,Aldi Hartanto,M,37,12,2,QRIS-OTHERS,Delivery,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,24000,QRIS,1200,22800
116,116,5/2/22,22,Erni Rahmawati,F,31,6,3,CASH,Dine-In,Indomie Goreng Pedas,makanan,mie-goreng,9000,27000,CASH,0,27000
117,117,4/10/22,42,Eni Rahmawati,F,31,15,3,QRIS-DANA,Delivery,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,36000,QRIS,1800,34200
118,118,5/17/22,41,Gilang Wijaya,M,28,17,1,QRIS-DANA,Dine-In,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,12000,QRIS,600,11400
119,119,1/24/22,27,Adit Prabowo,M,42,8,1,QRIS-OVO,Delivery,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,9000,QRIS,450,8550
120,120,2/23/22,68,Putri Lestari,F,27,2,1,QRIS-OVO,Delivery,Indomie Ayam Spesial,makanan,mie-kuah,12000,12000,QRIS,600,11400
121,121,1/31/22,4,Fitri Ayu,F,24,9,3,QRIS-GOPAY,Delivery,Indomie Goreng Spesial,makanan,mie-goreng,9000,27000,QRIS,1350,25650
122,122,2/26/22,43,Ahmad Santoso,M,33,11,2,QRIS-OVO,Dine-In,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,24000,QRIS,1200,22800
123,123,5/9/22,13,Wahyu Putra,M,34,4,3,QRIS-DANA,Delivery,Indomie Goreng Aceh,makanan,mie-goreng,9000,27000,QRIS,1350,25650
124,124,8/7/22,28,Nur Lestari,F,27,11,3,QRIS-DANA,Dine-In,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,36000,QRIS,1800,34200
125,125,8/12/22,53,Arief Putra,M,34,15,1,CASH,Delivery,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,12000,CASH,0,12000
126,126,8/11/22,50,Sari Sari,F,22,17,2,QRIS-OTHERS,Dine-In,Indomie Rasa Soto Padang,makanan,mie-kuah,12000,24000,QRIS,1200,22800
127,127,1/2/22,62,Anisa Rahmawati,F,31,4,2,QRIS-GOPAY,Dine-In,Indomie Goreng Aceh,makanan,mie-goreng,9000,18000,QRIS,900,17100
128,128,7/24/22,18,Lusi Aulia,F,23,14,1,CASH,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,12000,CASH,0,12000
129,129,4/18/22,48,Wulan Lestari,F,27,4,1,CASH,Dine-In,Indomie Goreng Aceh,makanan,mie-goreng,9000,9000,CASH,0,9000
130,130,1/27/22,48,Wulan Lestari,F,27,2,3,CASH,Dine-In,Indomie Ayam Spesial,makanan,mie-kuah,12000,36000,CASH,0,36000
131,131,2/8/22,40,Eka Kusuma,F,24,15,3,CASH,Delivery,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,36000,CASH,0,36000
132,132,4/11/22,12,Yanti Wulandari,F,30,7,3,QRIS-OTHERS,Delivery,Indomie Goreng Rendang,makanan,mie-goreng,9000,27000,QRIS,1350,25650
133,133,7/11/22,54,Maya Kurnia,F,26,7,3,QRIS-SHOPEEPAY,Dine-In,Indomie Goreng Rendang,makanan,mie-goreng,9000,27000,QRIS,1350,25650
134,134,7/6/22,46,Rita Susanti,F,29,15,2,QRIS-SHOPEEPAY,Dine-In,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,24000,QRIS,1200,22800
135,135,2/10/22,91,Andri Nugroho,M,38,14,2,QRIS-SHOPEEPAY,Delivery,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,24000,QRIS,1200,22800
136,136,8/25/22,62,Anisa Rahmawati,F,31,6,2,QRIS-DANA,Dine-In,Indomie Goreng Pedas,makanan,mie-goreng,9000,18000,QRIS,900,17100
137,137,5/23/22,85,Faiz Setiawan,M,35,14,3,QRIS-SHOPEEPAY,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,36000,QRIS,1800,34200
138,138,6/1/22,30,Vita Sari,F,22,15,1,QRIS-OTHERS,Dine-In,Indomie Rasa Soto Betawi,makanan,mie-kuah,12000,12000,QRIS,600,11400
139,139,5/6/22,24,Mila Rosita,F,24,4,3,QRIS-OTHERS,Delivery,Indomie Goreng Aceh,makanan,mie-goreng,9000,27000,QRIS,1350,25650
140,140,6/4/22,71,Syahrul Nugroho,M,38,18,1,CASH,Delivery,Indomie Soto Mie,makanan,mie-kuah,12000,12000,CASH,0,12000
141,141,3/29/22,16,Susi Indriani,F,32,14,3,QRIS-DANA,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,36000,QRIS,1800,34200
142,142,3/15/22,17,Eko Susanto,M,29,11,2,QRIS-SHOPEEPAY,Dine-In,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,24000,QRIS,1200,22800
143,143,5/18/22,34,Indah Kurnia,F,26,3,2,QRIS-OTHERS,Delivery,Indomie Baso Sapi,makanan,mie-kuah,12000,24000,QRIS,1200,22800
144,144,2/26/22,14,Rika Kurnia,F,26,12,2,QRIS-GOPAY,Delivery,Indomie Rasa Mi Kocok Bandung,makanan,mie-kuah,12000,24000,QRIS,1200,22800
145,145,2/11/22,88,Mega Lestari,F,27,4,1,QRIS-GOPAY,Delivery,Indomie Goreng Aceh,makanan,mie-goreng,9000,9000,QRIS,450,8550
146,146,7/31/22,26,Ani Susanti,F,29,1,1,QRIS-OTHERS,Dine-In,indomie Ayam Bawang,makanan,mie-kuah,12000,12000,QRIS,600,11400
147,147,6/5/22,18,Lusi Aulia,F,23,8,1,QRIS-SHOPEEPAY,Dine-In,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,9000,QRIS,450,8550
148,148,2/25/22,39,Ilham Pratama,M,41,1,3,QRIS-GOPAY,Delivery,indomie Ayam Bawang,makanan,mie-kuah,12000,36000,QRIS,1800,34200
149,149,5/2/22,39,Ilham Pratama,M,41,16,3,QRIS-SHOPEEPAY,Dine-In,Indomie Rasa Soto Lamongan,makanan,mie-kuah,12000,36000,QRIS,1800,34200
150,150,6/15/22,54,Maya Kurnia,F,26,10,1,QRIS-OVO,Dine-In,indomie Kari Ayam,makanan,mie-kuah,12000,12000,QRIS,600,11400
151,151,3/20/22,90,Tini Sari,F,22,8,3,QRIS-OTHERS,Dine-In,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,27000,QRIS,1350,25650
152,152,6/13/22,68,Putri Lestari,F,27,14,3,QRIS-OVO,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,36000,QRIS,1800,34200
153,153,8/11/22,97,Imam Susanto,M,29,11,1,QRIS-OVO,Delivery,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,12000,QRIS,600,11400
154,154,5/24/22,34,Indah Kurnia,F,26,1,1,QRIS-DANA,Dine-In,indomie Ayam Bawang,makanan,mie-kuah,12000,12000,QRIS,600,11400
155,155,3/11/22,80,Niken Kusuma,F,24,10,1,CASH,Delivery,indomie Kari Ayam,makanan,mie-kuah,12000,12000,CASH,0,12000
156,156,6/19/22,32,Dewi Wulandari,F,30,11,1,QRIS-OVO,Delivery,Indomie Rasa Empal Gentong,makanan,mie-kuah,12000,12000,QRIS,600,11400
157,157,4/8/22,72,Eka Wulandari,F,30,6,3,QRIS-DANA,Delivery,Indomie Goreng Pedas,makanan,mie-goreng,9000,27000,QRIS,1350,25650
158,158,5/1/22,10,Tia Sari,F,22,14,1,CASH,Dine-In,Indomie Rasa Soto Banjar Limau Kuit,makanan,mie-kuah,12000,12000,CASH,0,12000
159,159,5/27/22,36,Novi Indriani,F,32,8,1,QRIS-OTHERS,Delivery,Indomie Goreng Sambal Matah,makanan,mie-goreng,9000,9000,QRIS,450,8550
